Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
107,0.060459,0.776196,0.979545,1.575049638748169,Success,147/500,1282,21308,x25519_mlkem512,dilithium5,14953
27,0.012108,0.738931,1.092524,1.5972647666931152,Success,148/500,1282,21302,x25519_mlkem512,dilithium5,14953
98,0.17047,1.074856,1.212082,1.5602836608886719,Success,149/500,1282,21308,x25519_mlkem512,dilithium5,14953
89,0.490624,1.213724,1.244124,1.8829033374786377,Success,150/500,1282,21308,x25519_mlkem512,dilithium5,14953
320,0.124499,1.151718,1.250734,1.469635009765625,Success,151/500,1282,21308,x25519_mlkem512,dilithium5,14953
311,0.018743,0.883003,0.944251,1.4546244144439697,Success,152/500,1282,21308,x25519_mlkem512,dilithium5,14953
71,0.218767,1.101644,1.268927,0.9540033340454102,Success,153/500,1282,21302,x25519_mlkem512,dilithium5,14953
293,0.024424,1.173505,1.196341,1.4609742164611816,Success,154/500,1282,21302,x25519_mlkem512,dilithium5,14953
238,0.128616,1.860821,2.015688,0.41228294372558594,Success,155/500,1282,21302,x25519_mlkem512,dilithium5,14953
229,0.13,1.718593,1.805853,1.531912088394165,Success,156/500,1282,21308,x25519_mlkem512,dilithium5,14953
10,0.004482,0.600889,0.634486,0.020702362060546875,Success,157/500,1282,21308,x25519_mlkem512,dilithium5,14953
341,0.084837,1.121853,1.136772,1.1369130611419678,Success,158/500,1282,21302,x25519_mlkem512,dilithium5,14953
53,0.699111,1.791495,1.79559,1.5397529602050781,Success,159/500,1282,21302,x25519_mlkem512,dilithium5,14953
266,0.288805,1.006432,1.04593,1.4852333068847656,Success,160/500,1282,21308,x25519_mlkem512,dilithium5,14953
193,0.039151,1.25409,1.266363,1.8289432525634766,Success,161/500,1282,21308,x25519_mlkem512,dilithium5,14953
257,0.004607,0.629779,0.640304,0.04872250556945801,Success,162/500,1282,21308,x25519_mlkem512,dilithium5,14953
175,0.118952,1.164297,1.822752,1.836728572845459,Success,163/500,1282,21308,x25519_mlkem512,dilithium5,14953
166,0.019342,0.777191,0.858331,0.2592148780822754,Success,164/500,1282,21308,x25519_mlkem512,dilithium5,14953
248,0.005093,0.560338,0.567961,0.0074155330657958984,Success,165/500,1282,21308,x25519_mlkem512,dilithium5,14953
